"payload.kong_service.name.keyword: Descending","payload.request.method.keyword: Descending","payload.request.url.keyword: Descending",Count
IAM,POST,"https://api.cloud.vtb.ru:8443/iam/api/v1/permissions/test",1392764
IAM,POST,"https://api.cloud.vtb.ru:8443/iam/api/v1/permissions/test_orgstructure_management",290526
IAM,GET,"http://cloud-kong-main:8000/iam/api/v1/internal/policies",166826
IAM,GET,"http://cloud-kong-main:8000/iam/admin/api/v1/policies",92343
IAM,GET,"http://cloud-kong-main:8000/iam/admin/api/v1/users",72813
IAM,GET,"http://cloud-kong-main:8000/iam/admin/api/v1/service_accounts",51290
IAM,GET,"http://cloud-kong-main:8000/iam/api/v1/resource_rules/info",17924
IAM,GET,"http://cloud-kong-main:8000/iam/internal/api/v1/checklists",5727
IAM,POST,"http://cloud-kong-main:8000/iam/api/v1/permissions/test",5106
IAM,GET,"http://cloud-kong-main:8000/iam/admin/api/v1/users/27970/members",3099
IAM,POST,"http://cloud-kong-main:8000/iam/internal/api/v1/policies",2761
IAM,DELETE,"http://cloud-kong-main:8000/iam/internal/api/v1/policies",2318
IAM,GET,"https://api.cloud.vtb.ru:8443/iam/api/v1/organizations/vtb/search-members",2303
IAM,GET,"https://api.cloud.vtb.ru:8443/iam/api/v1/projects/proj-nh8ri0gsjsbchm6/service_accounts",2212
IAM,GET,"https://api.cloud.vtb.ru:8443/iam/api/v1/organizations/vtb/roles",2110
IAM,GET,"https://api.cloud.vtb.ru:8443/iam/api/v1/projects/proj-t88tw7mok2qcgwf/service_accounts",2052
IAM,GET,"https://api.cloud.vtb.ru:8443/iam/api/v1/projects/proj-p9w20ad5vhwm94l/service_accounts",1928
IAM,GET,"http://cloud-kong-main:8000/iam/api/v1/organizations/vtb/users/search",1805
IAM,GET,"https://api.cloud.vtb.ru:8443/iam/api/v1/roles/get-available-roles",1396
IAM,GET,"http://cloud-kong-main:8000/iam/api/v1/organizations/vtb/policy/subject-projects",1373
IAM,GET,"http://cloud-kong-main:8000/iam/admin/api/v1/users/28243/members",1310
IAM,GET,"http://cloud-kong-main:8000/iam/api/v1/users/0ffae324-1311-4e35-afcf-3fe52692caa5",890
IAM,GET,"https://api.cloud.vtb.ru:8443/iam/api/v2/projects/proj-p9w20ad5vhwm94l/policy",866
IAM,GET,"https://api.cloud.vtb.ru:8443/iam/api/v2/projects/proj-t88tw7mok2qcgwf/policy",854
IAM,GET,"https://api.cloud.vtb.ru:8443/iam/api/v2/projects/proj-nh8ri0gsjsbchm6/policy",836
IAM,GET,"http://cloud-kong-main:8000/iam/api/v1/health",671
IAM,POST,"http://cloud-kong-main:8000/iam/api/v1/organizations/vtb/policy/subject-descendants",646
IAM,GET,"http://cloud-kong-main:8000/iam/api/v1/organizations/vtb/groups",378
IAM,GET,"http://cloud-kong-main:8000/iam/api/v1/users/90d3d656-4a53-4a02-86b5-ba6634fa79e0",355
IAM,PUT,"http://cloud-kong-main:8000/iam/internal/api/v1/policies/resource-manager%2Fprojects%2Fproj-p9w20ad5vhwm94l",347
IAM,GET,"http://cloud-kong-main:8000/iam/api/v1/projects/proj-p9w20ad5vhwm94l/policy",347
IAM,PUT,"http://cloud-kong-main:8000/iam/internal/api/v1/policies/resource-manager%2Fprojects%2Fproj-t88tw7mok2qcgwf",340
IAM,GET,"http://cloud-kong-main:8000/iam/api/v1/projects/proj-t88tw7mok2qcgwf/policy",340
IAM,POST,"http://cloud-kong-main:8000/iam/internal/api/v1/checklists",336
IAM,PUT,"http://cloud-kong-main:8000/iam/internal/api/v1/policies/resource-manager%2Fprojects%2Fproj-nh8ri0gsjsbchm6",332
